"","ID","PREMIUM","TIV","BLDG_LIMIT","DED","POSTALCODE","CITY","DISTRICT","COUNTYCODE","COUNTY","STATECODE","STATE","CRESTA","SUBCRESTA","COUNTRY","LATITUDE","LONGITUDE","ADDRMATCH","NUMBLDGS","BLDGSCHEME","BLDGCLASS","OCCSCHEME","OCCTYPE","NUMSTORIES","YEARBUILT","ELEVATION","DISTCOAST","WINDPOOL","NFIP_RATE","NFIPYEAR","ROOFSYS","ROOFGEOM","ROOFANCH","ROOFAGE","CLADSYS","FRAMEBOLT","CLADDING","EQSLINS","LANDSLIDE","LANDCOV","LIQUEFACT","LIQUECOV","SOILTYPE","SOILCOV","SOILPERIOD","SOILTHICKNESS","dis_min","wind_min","wind_speed","Loss"
"2","A1025181",1293,168149,170001,1000,"29607","GREENVILLE","","045","GREENVILLE COUNTY","SC","SOUTH CAROLINA","","","US",34.845617,-82.364463,2,"1","RMS","1","ATC",1,1,"1950","980.030029296875","194.099868774414","0","0","1975","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL",212.745859886024,74.815,35,-2293
"3","F102520",8441,1110297,1110297,25324,"34113","NAPLES","","021","COLLIER COUNTY","FL","FLORIDA","","","US",26.074383,-81.703689,2,"1","RMS","2","ATC",2,2,"1997","6.09200000762939","5.1268984245068","0","0.600000023841858","1975","5","4","3","1","5","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL",170.375370377008,132.365,35,-33765
"4","A1025291",450,122650,59188,1000,"38635","HOLLY SPRINGS","","093","MARSHALL COUNTY","MS","MISSISSIPPI","","32820","US",34.73294,-89.54712,2,"1","RMS","3","ATC",1,1,"1976","536.539978027344","294.083801269531","0","0","1975","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL",555.639621896737,103.59,35,-1450
"7","B102551",250,19545,19545,297,"34747","KISSIMMEE","","097","OSCEOLA COUNTY","FL","FLORIDA","","36740","US",28.34064,-81.64506,2,"1","RMS","4B1","ATC",2,1,"2000","109.599998474121","52.8258285522461","0","0","1975","2","2","3","3","0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL",100.709199947449,120.855,35,-547
"8","B102557",703,92495,92495,1406,"34747","KISSIMMEE","","097","OSCEOLA COUNTY","FL","FLORIDA","","36740","US",28.34064,-81.64506,2,"1","RMS","1","ATC",2,1,"2000","109.599998474121","52.8258285522461","0","0","1975","5","4","3","3","5","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL",100.709199947449,120.855,35,-2109
"9","F102562",250,18624,18624,283,"34747","KISSIMMEE","","097","OSCEOLA COUNTY","FL","FLORIDA","","36740","US",28.34064,-81.64506,2,"1","RMS","1","ATC",2,1,"2000","109.599998474121","52.8258285522461","0","0","1975","0","0","3","3","0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL",100.709199947449,120.855,35,-533
"10","B102568",32463,4269831,4269831,162316,"33463","LAKE WORTH","","099","PALM BEACH COUNTY","FL","FLORIDA","","","US",26.588002,-80.124521,2,"1","RMS","2","ATC",2,3,"2000","17","5.38002631644979","0","0.100000001490116","1975","5","4","3","3","5","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL",67.1700270676372,132.365,35,-194779
"15","F102582",5983,786899,786899,17948,"34113","NAPLES","","021","COLLIER COUNTY","FL","FLORIDA","","34940","US",26.05647,-81.71467,2,"1","RMS","2","ATC",2,2,"2008","5.76700019836426","3.96799699933287","0","0.600000023841858","1975","5","4","3","2","5","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL",171.52214109078,132.365,35,-23931
"16","A1025830",450,124295,59188,1000,"71291","WEST MONROE","","073","OUACHITA PARISH","LA","LOUISIANA","","33740","US",32.49899,-92.12819,2,"1","RMS","1","ATC",1,1,"1955","80.9599990844727","180.37287902832","0","0","1975","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL",680.931324584312,103.59,35,-1450
"17","A1025831",600,208341,78917,1000,"61068","ROCHELLE","","141","OGLE COUNTY","IL","ILLINOIS","","","US",41.966424,-89.00151,2,"1","RMS","1","ATC",1,1,"1910","0","0","0","0","9999","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL",812.949085838345,74.815,35,-1600
"18","A1025862",3158,460723,415345,5000,"60056","MOUNT PROSPECT","","031","COOK COUNTY","IL","ILLINOIS","","","US",42.041914,-87.950924,2,"1","RMS","1","ATC",1,1,"1942","0","0","0","0","9999","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL",778.930238845437,74.815,35,-8158
"19","F102589",5983,786899,786899,17948,"34113","NAPLES","","021","COLLIER COUNTY","FL","FLORIDA","","34940","US",26.0567,-81.71499,2,"1","RMS","2","ATC",2,2,"2015","5.76700019836426","3.95608756382857","0","0.600000023841858","1975","5","4","3","1","5","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL",171.533263388327,132.365,35,-23931
"21","B102605",21095,3194829,2774644,63286,"33024","COOPER CITY","","011","BROWARD COUNTY","FL","FLORIDA","","33100","US",26.0315,-80.25212,2,"1","RMS","3C","ATC",2,3,"2012","5.50699996948242","8.57674510495973","0","0.600000023841858","1975","5","4","3","1","5","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL",98.5062210444913,132.365,35,-84381
"23","B102611",17709,2689414,2329257,53127,"33024","COOPER CITY","","011","BROWARD COUNTY","FL","FLORIDA","","33100","US",26.03166,-80.25203,2,"1","RMS","3C","ATC",2,3,"2012","5.50699996948242","8.57172417970932","0","0.600000023841858","1975","5","4","3","1","5","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL",98.494203327409,132.365,35,-70836
"25","A1026131",1500,611608,197293,1000,"12047","COHOES","","001","ALBANY COUNTY","NY","NEW YORK","","","US",42.776416,-73.716199,2,"1","RMS","1","ATC",1,1,"1900","266.880004882813","109.07991027832","0","0","1975","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL",518.561637598094,74.815,35,-2500
